pdf_file,business_name,registry_number
1002372_0004_50709536.pdf,SUPPLIES LIMITED. GEARS AVE UE EE 3. TH,NOT FOUND
1002621_0004_50709486.pdf,TRADERS GROUP LIMITED,1002621
1001082_0004_50709524.pdf,CO OO GR AY RB ARE GEE ARN,NOT FOUND
